id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;SUDESTE;2022-01-13;41782.566875
N;NORTE;2022-01-14;5858.816
NE;NORDESTE;2022-01-14;11198.480625
S;SUL;2022-01-14;15056.54241667
SE;SUDESTE;2022-01-14;42686.65008333
N;NORTE;2022-01-15;5688.606
NE;NORDESTE;2022-01-15;10654.617
S;SUL;2022-01-15;13438.65591667
SE;SUDESTE;2022-01-15;40398.09383333
N;NORTE;2022-01-16;5513.00479167
NE;NORDESTE;2022-01-16;10187.80116667
S;SUL;2022-01-16;11939.35920833
SE;SUDESTE;2022-01-16;37088.87625
N;NORTE;2022-01-17;5685.08279167
NE;NORDESTE;2022-01-17;11166.44933333
S;SUL;2022-01-17;14839.69425
SE;SUDESTE;2022-01-17;43035.03404167
N;NORTE;2022-01-18;5647.71845833
NE;NORDESTE;2022-01-18;11528.91608333
S;SUL;2022-01-18;15099.88958333
SE;SUDESTE;2022-01-18;44750.63133333
N;NORTE;2022-01-19;5704.34125
NE;NORDESTE;2022-01-19;11772.13529167
S;SUL;2022-01-19;15639.573875
SE;SUDESTE;2022-01-19;44666.74508333
N;NORTE;2022-01-20;5934.15116667
NE;NORDESTE;2022-01-20;11899.62775
S;SUL;2022-01-20;16211.40595833
SE;SUDESTE;2022-01-20;44424.267
N;NORTE;2022-01-21;6014.05291667
NE;NORDESTE;2022-01-21;12056.08345833
S;SUL;2022-01-21;16082.350375
SE;SUDESTE;2022-01-21;45185.93829167
N;NORTE;2022-01-22;5744.53066667
NE;NORDESTE;2022-01-22;11385.660125
S;SUL;2022-01-22;14285.5935
SE;SUDESTE;2022-01-22;42118.95354167
N;NORTE;2022-01-23;5406.524375
NE;NORDESTE;2022-01-23;10739.73216667
S;SUL;2022-01-23;12979.07733333
SE;SUDESTE;2022-01-23;39502.170125
N;NORTE;2022-01-24;5813.93
NE;NORDESTE;2022-01-24;11775.999875
S;SUL;2022-01-24;16219.35104167
SE;SUDESTE;2022-01-24;45720.875
N;NORTE;2022-01-25;5966.826875
NE;NORDESTE;2022-01-25;11924.796375
S;SUL;2022-01-25;16176.98766667
SE;SUDESTE;2022-01-25;46369.54083333
N;NORTE;2022-01-26;5833.2015
NE;NORDESTE;2022-01-26;11852.56745833
S;SUL;2022-01-26;16214.91404167
SE;SUDESTE;2022-01-26;46023.03504167
N;NORTE;2022-01-27;5873.45083333
NE;NORDESTE;2022-01-27;11628.471875
S;SUL;2022-01-27;14837.46145833
SE;SUDESTE;2022-01-27;46114.86670833
N;NORTE;2022-01-28;5737.697
NE;NORDESTE;2022-01-28;11612.52341667
S;SUL;2022-01-28;13116.38170833
SE;SUDESTE;2022-01-28;45315.99229167
N;NORTE;2022-01-29;5433.08945833
NE;NORDESTE;2022-01-29;10794.30029167
S;SUL;2022-01-29;11266.188625
SE;SUDESTE;2022-01-29;40549.38766667
N;NORTE;2022-01-30;5093.00425
NE;NORDESTE;2022-01-30;10286.51845833
S;SUL;2022-01-30;9918.63116667
SE;SUDESTE;2022-01-30;36236.51954167
N;NORTE;2022-01-31;5670.215125
NE;NORDESTE;2022-01-31;11569.05604167
S;SUL;2022-01-31;13359.83445833
SE;SUDESTE;2022-01-31;41717.45616667
N;NORTE;2022-02-01;5937.34083333
NE;NORDESTE;2022-02-01;11926.05479167
S;SUL;2022-02-01;14187.800625
SE;SUDESTE;2022-02-01;42688.44825
N;NORTE;2022-02-02;6074.66570833
NE;NORDESTE;2022-02-02;12083.89766667
S;SUL;2022-02-02;14646.09266667
SE;SUDESTE;2022-02-02;42908.63708333
N;NORTE;2022-02-03;5991.46295833
NE;NORDESTE;2022-02-03;12068.89833333
S;SUL;2022-02-03;15239.14554167
SE;SUDESTE;2022-02-03;43012.95595833
N;NORTE;2022-02-04;5949.16470833
NE;NORDESTE;2022-02-04;12034.21866667
S;SUL;2022-02-04;14777.66741667
SE;SUDESTE;2022-02-04;43900.86545833
N;NORTE;2022-02-05;5688.321875
NE;NORDESTE;2022-02-05;11368.38766667
S;SUL;2022-02-05;12535.88879167
SE;SUDESTE;2022-02-05;41650.20170833
N;NORTE;2022-02-06;5521.45645833
NE;NORDESTE;2022-02-06;10831.32783333
S;SUL;2022-02-06;10282.30733333
SE;SUDESTE;2022-02-06;38067.63741667
N;NORTE;2022-02-07;5959.12245833
NE;NORDESTE;2022-02-07;12180.48645833
S;SUL;2022-02-07;12824.1295
SE;SUDESTE;2022-02-07;43052.14183333
N;NORTE;2022-02-08;6100.83054167
NE;NORDESTE;2022-02-08;12340.16645833
S;SUL;2022-02-08;13427.25816667
SE;SUDESTE;2022-02-08;42444.6375
N;NORTE;2022-02-09;6143.04425
NE;NORDESTE;2022-02-09;12317.07975
S;SUL;2022-02-09;13722.75116667
SE;SUDESTE;2022-02-09;41850.88354167
N;NORTE;2022-02-10;6135.74754167
NE;NORDESTE;2022-02-10;12368.44945833
S;SUL;2022-02-10;14135.502375
SE;SUDESTE;2022-02-10;41889.19341667
N;NORTE;2022-02-11;6006.9805
NE;NORDESTE;2022-02-11;12372.474
S;SUL;2022-02-11;14563.02679167
SE;SUDESTE;2022-02-11;42389.630875
N;NORTE;2022-02-12;5951.77083333
NE;NORDESTE;2022-02-12;11825.525
S;SUL;2022-02-12;12765.36333333
SE;SUDESTE;2022-02-12;39632.71733333
N;NORTE;2022-02-13;5584.09079167
NE;NORDESTE;2022-02-13;10884.09470833
S;SUL;2022-02-13;11139.919125
SE;SUDESTE;2022-02-13;36729.218375
N;NORTE;2022-02-14;5969.565875
NE;NORDESTE;2022-02-14;12010.98595833
S;SUL;2022-02-14;13968.59941667
SE;SUDESTE;2022-02-14;44086.478125
N;NORTE;2022-02-15;6008.99391667
NE;NORDESTE;2022-02-15;12112.28079167
S;SUL;2022-02-15;14459.25758333
SE;SUDESTE;2022-02-15;45114.19216667
N;NORTE;2022-02-16;6065.883125
NE;NORDESTE;2022-02-16;12124.28116667
S;SUL;2022-02-16;14666.34191667
SE;SUDESTE;2022-02-16;44655.48629167
N;NORTE;2022-02-17;6082.4615
NE;NORDESTE;2022-02-17;12204.23695833
S;SUL;2022-02-17;14707.56754167
SE;SUDESTE;2022-02-17;43862.769375
N;NORTE;2022-02-18;6087.00020833
NE;NORDESTE;2022-02-18;11920.1975
S;SUL;2022-02-18;14043.86975
SE;SUDESTE;2022-02-18;43385.41804167
N;NORTE;2022-02-19;5481.77575
NE;NORDESTE;2022-02-19;11381.383
S;SUL;2022-02-19;12176.51279167
SE;SUDESTE;2022-02-19;39722.55508333
N;NORTE;2022-02-20;5239.54329167
NE;NORDESTE;2022-02-20;10697.53929167
S;SUL;2022-02-20;11406.84445833
SE;SUDESTE;2022-02-20;36733.29654167
N;NORTE;2022-02-21;5814.079375
NE;NORDESTE;2022-02-21;11445.07095833
S;SUL;2022-02-21;14721.57783333
SE;SUDESTE;2022-02-21;43689.879625
N;NORTE;2022-02-22;5830.84645833
NE;NORDESTE;2022-02-22;11834.79458333
S;SUL;2022-02-22;15088.1805
SE;SUDESTE;2022-02-22;45290.043625
N;NORTE;2022-02-23;5853.30066667
NE;NORDESTE;2022-02-23;11933.76520833
S;SUL;2022-02-23;14903.53866667
SE;SUDESTE;2022-02-23;45886.067125
N;NORTE;2022-02-24;5991.15020833
NE;NORDESTE;2022-02-24;12054.37266667
S;SUL;2022-02-24;15048.16820833
SE;SUDESTE;2022-02-24;45678.49708333
N;NORTE;2022-02-25;6023.62958333
NE;NORDESTE;2022-02-25;11990.00779167
S;SUL;2022-02-25;15101.115375
SE;SUDESTE;2022-02-25;45994.20733333
N;NORTE;2022-02-26;5638.77758333
NE;NORDESTE;2022-02-26;11376.169375
S;SUL;2022-02-26;13219.66920833
SE;SUDESTE;2022-02-26;42168.945625
N;NORTE;2022-02-27;5315.54295833
NE;NORDESTE;2022-02-27;10629.11879167
S;SUL;2022-02-27;11890.77633333
SE;SUDESTE;2022-02-27;38960.63425
N;NORTE;2022-02-28;5509.51941667
NE;NORDESTE;2022-02-28;11283.41220833
S;SUL;2022-02-28;14121.621375
SE;SUDESTE;2022-02-28;43194.20104167
N;NORTE;2022-03-01;5265.72695833
NE;NORDESTE;2022-03-01;11398.2865
S;SUL;2022-03-01;13533.615125
SE;SUDESTE;2022-03-01;43403.57133333
N;NORTE;2022-03-02;5589.00729167
NE;NORDESTE;2022-03-02;12144.38366667
S;SUL;2022-03-02;14360.92254167
SE;SUDESTE;2022-03-02;45891.69770833
N;NORTE;2022-03-03;5948.00604167
NE;NORDESTE;2022-03-03;12379.91804167
S;SUL;2022-03-03;14522.45604167
SE;SUDESTE;2022-03-03;46940.457
